stemming_data,sentiment_score,sentiment
celebesewako wuih sdh muncul nih haters medan yg sdm nya rendah yg suka cemburu dgn bangun makassar saran elu cepat tobat jgn jd benci,0.0,netral
azrielmuhammad pret yg iri kota kelas mekasar ya gak lepel primitif fungsi utama reklamasi cpi antisipasi gelombang laut air laut terjang pesisir nya cpi bangun krn fungsi nya jadi rth ruang tata hijau sesuai perda kelompok manusia rakus ambil untung dgn jual belikan illegal perhati dampak terjadike,-0.5,negatif
celebesewako wkwkngakak dgn karang cerita dek bilang bangun yg diri ilegal klw ilegal demo yg reklamasi dgn proyek cpi byk dampak positif masyakat pesisir makassar krn menghindai deras alir sungai jeneberan jg ganti tanam bakau halau air laut bandang sumpah gw ketawa liat opini yg bodoh sampe segitunya bilang ilegal lihat tuh rumah sakit cuman makassar surabaya bangun iknpapua tpi yg makassar surabaya protek kembang proprti sprti agung podomorogrup hyatt bangun apartemen hotel sana ciputra world makassar bangun sana byk gedung yg bangin sana dek sdh apartemen universitas ciputra area bisnis centre makassar bos tanah reklamasi gk kayak medan gitu aja kota gk view indah kota yg masyarakat primitif byk preman tuh vlog youtube tiktok medan skrg kota aman indonesia byk premankejahatan gk cuman malam siang raja lelabesi byk yg hilang ban mobil parkir byk yg copot ambil maling fakta,0.0,netral
suka konsep ikn,0.0,netral
hati makasar konsep tata kota dampak ling kunganya menja jakarta,0.0,netral
wow makasar smakin kreen mao ngalahkan kota dubai nie nice,0.35,positif
coy,0.0,netral
makasar tara timur leste india,0.0,netral
jatuh rusak laut,0.0,netral
hater nih gak lihat dubai kaya reklamasi,0.0,netral
ikan byk kanal reklamasi nya,0.0,netral
produk yg kau pake hari yg proses n pasca produksi rusak lingkung sok gaya lo lo circle lsm makan duit asing pojok negara,0.0,netral
nya reklamasi jakarta tolak jaga imbang alam,0.0,netral
celebesewakosebenenrnya jakarta reklamasi nya hutan mangrove jdi lambat laun pulih ya resiko reklamasi karna timbun pasir massal,0.0,netral
jakarta tenggelam perintah indonesia president indonesia lihat kota amesterdam dubai singapore doha kota pulau buat tuju hambat redam halau ombak laut cegah abrasi pantai tanya president perintah indonesia tindak cegah air gelombang laut utara laut jakarta,0.0,netral
tuju perintah pulau buat laut utara jakarta tuju cegah gelombang laut abrasi pantai,0.0,netral
anies gubernur jakarta tuju pelangipelangi,0.0,netral
dapat pemda pemprov garap potensi cpi contoh kawasan taman sekitar masjid kubah jg ada nggak rawat masjid finishingnya kalah rapi masjid raya al jabbar arsitek nongkong lego lego samping masjid ada bayang cpi garap maksimal ala ala marina bay singapura situ pasang dancing fountain yg laut show malam utk tarik wisatawan lagu bpk gubernur ajak prabowo makassar lihat wisma negara yg mangkrak menit kiri tau dana lanjut bangun wisma negara cpi sesuai rencana,0.0,netral
klw masjid al jabbar mewah ya wajar krn anggar triliun sdngkan masjid kubah biaya cuman milliar,0.0,netral
klw kawasan wisma negara masjid kubah milik pemprov jembatan bentuk rumah tongkonan,0.0,netral
dapat jg bagus spertinya klw gedung iconic sperti marina bay singapura klw bagus swasta yg bangun,0.5,positif
mekasar gak level reklamasi cpi ambruk runtuh hantam ombak laut karna tanah nya lunak azrielmuhammad,0.0,netral
ya klo perintah daerah org yg kompeten daerah yg pimpin maju lebih daerah,0.0,netral
beda dgn kota medan ya,0.0,netral
elo gak liat video gubernur sulsel tangkap kpk kompeten darimana,0.0,netral
qulilhaqqoklo medan tata kota ammuradul bang,0.0,netral
hubung medan mekasar kumuh amburadur miskin primitif minim infrastruktur serasa timur leste india yg kumuhqulilhaqqo,0.0,netral
syamsiralammemang mekasar bangladesh nya indonesia timur kumuh indonesia transportasi massal nya becak sepeda motor butut gandeng nya,0.0,netral
kabar stadion barombong,0.0,netral
bravo makasarjgn aibon yah,0.0,netral
begal dusta ya,0.0,netral
korban goreng politik adu domba ya,0.0,netral
wow bagus bangun stadion,0.1,positif
daerah sudiang bagun stadion internasional rencana perintah pusat,0.0,netral
bang pulo kayangan pulo kayangan,0.0,netral
bang,0.0,netral
wowreklamasi klodtata desain jd kerennnnn,0.0,netral
bahaya sana dekat lempeng tektonik laut samudra tsunami korban,0.0,netral
daer sulawesi selatan ngak bahaya pesisir daerah jawa sumatra bos,0.0,netral
yg diwaspai pesisir mekasar pantai nya langgan banjir air rob,0.0,netral
reklamasi jakarta digangguin oknumktnya sih nyalon wkwkwk gw ketawain aj dah,0.0,netral
untung ahok mw calonin lagigw dukung sih,0.0,netral
aeyawiguna yg gw heran jakarta ricuhin daerah aja bukti politisasi bangun agama jahat yg bahaya rakyat jgn bodoh,0.0,netral
kapalapijelaslebiheunak emang sial sihgara rizik bangun indonesia jakarta mandek gin kek alami mundur gara doang yg nge banggain agama kelas anis baswedan aj setir rizik lhooooduhh mas anis mas anis,0.0,netral
aeyawiguna barang yg gotong royong bahumembahu dukungmendukung sharemenshare dlm kebathilan kezoliman apa alas apa bentuk yg bungkus dlm politisasi agama lihat hasil balas naujubillah summa naujubillah,-0.4,negatif
jkt mo nya tenggelamgiant sea world tolak anis gub unfaedah,0.0,netral
abah omon,0.0,netral
iya si anis gubernur bodoh pinter ngomong doang kaga becus kerja eeeeh d suruh presiden haduh,0.0,netral
g nelayan yg demo,0.0,netral
wowwreklamasinya kerenn,0.0,netral
woww kalah jkt,0.0,netral
mustahil,0.0,netral
wkwkwk lawan balikpapan kalo,0.0,netral
dasar stress,0.0,netral
makasar pesat pembangunanya ya,0.0,netral
darat pulau sulawesi nih,0.0,netral
must a nice must a nice,0.6,positif
malu njirrrr coba aj klo ahok yg pilih bs tuh reklamasi banding ania,0.0,netral
bang coba update reklamasi poj city semarang,0.0,netral
reklamasi jakarta salah strategi utk tangan banjir rob luar tangan banjir hulu banjir hilir kontraktor reklamasi jakarta wajib bangun tanggul laut raksasa jakarta jakarta giant sea wall bentuk csr pemda jakarta bendung alir sungai jakarta air baku yg distribusi rakyat jakarta yg air tanah strategi sumur resap biopori efektif massal utk isi akuifer jakarta sedot rakyat jakarta just info kapasitas pam jaya mengcover jakarta raya rakyat jakarta corporate air tanah guna air tanah akibat turun muka tanah jakarta akuifer tip tekan beban bangun muka jakarta fungsi reklamasi pantai utara jakarta beban infiltrasi air laut masuk darat utama jakarta cegah abrasi masyarakat jakarta pemda lahan tata ruang kota sirna egoisme pimpin yg paksa beda banjir rob tenggelam jakarta hantu,0.0,netral
bilang aja anis,0.0,netral
pilgub besok nyalon,0.0,netral
reklamasi jakarta gagal langgar sunatullah,0.0,netral
hayamkatelgqkwaduh parah sihtelalu ngikutin habib riziek tuh anis,0.0,netral
tp kena pikir si anies koplakk jd hancur reklamasi jkt utara dukung si anies cmngoh ngoh an z,0.0,netral
projek yg d kerja dri era sby tpi ngk kelar kelar smpai sekarangprojek klo yak d masuk dlm projek trategis nasional deh nasibnyapdhal klo d geber udah rampung smpai skrangngk heranbnyk projek yg d kerja jokowi mlh duluan kelar dri inimemalukanudah d gagas d kerja tu dri era sbysmpai era jokowi udah habismsih beginingk heran tinggal orang orang era sbyngk niat membanguntu lihatbandara kuala namu jambat suramadu dri era pimpin terdahuluprojek era pimpin makan kelaritu udah yg pling cepat,0.0,netral
tenang aj bangsekarang prabowo yg mw lanjut proyek strategis jokowi,0.0,netral
maaf bang twin tower cancel kalo ga salah berita detik mudah sih bangun icon nya makassar info twin tower gedung an meter,0.0,netral
udah coret proyek strategis nasional susah pakai apbd,0.0,netral
andipejalan iyaa baca detik kalo twin tower ga,0.0,netral
galihgumilarpret mekasar benalu sampah yg bikin malu negara perintah malu in indonesia timur,0.0,netral
rindu pulang makassar pulang stay papua,0.0,netral
jakarta tenggelam salah anis jg sih lihat gubernur nya jg era jokowi ahok jg banjir sangan parah jakarta tanah nya turun nya ambil air tanah yg,0.0,netral
tanpanamakomentarnya salah kolom nih,0.0,netral
ipvnkisme iya salah orang,0.0,netral
makassar jadi shenzhen jakarta nyampe level shenzhen tdk nyampe,0.0,netral
hehehehe shenzen versi kumuh ya,0.0,netral
astagina jakarta lbh kumuh ny moderen ny bagus ny,0.0,netral
jakarta kota trbesar china aja gk masuk,0.0,netral
neriogvgd beda level kota china dg jakarta dg kota asia selatan pas sm semrawut ny kumuh ny,0.0,netral
iya tanah nya ambruk,0.0,netral
gimana nggak kalah jakarta bang makasar dukung sdg jakarta protes bawa ranah politik orang yg nggak ngerti munafik,0.0,netral
pilih gubernur jakarta yaa jalan henti eh tau nya boleh tempat yg beda aja programpetahana goreng china isu liar nya juta rakyat china masuk area reklamasi jakarta berita hoaxs segitunya,0.0,netral
galihgumilargara habib sial bang,0.0,netral
cpi tuju nya cegah air rob banjir hantam pisisir nya reklamasi fungsi utama nya utk cagar alam wisata alam bangun bangun hancur nya,0.0,netral
negara jual aseng koq bangga siy,0.0,netral
triliun jual coy,0.0,netral
alangkah indah klo cpi tdak bangun rumah khusus gedung perkantoranhotelapartemenkampus n pusat belanja,0.0,netral
rugi pengembangnyaini biaya swastademandnya rumah harga minimal m studio room apartemen cpi harga murah juta aja kayak pik isi ruko biar cepat laku beli modal pengembangnyakalau isi gedung cari investor yg bas puluh,-0.1,negatif
andipejalanemg perintah fokus gedung atur perintah ngeluh lahan smkin habis,0.0,netral
noefvonfyi kak area cpi bangun kerjasama perintah kembang swasta daerah cpi bagi lahan milik area milik perintah area milik swasta area lewat jembatan merah area swasta kembang swasta punyak hak diri bisnis rumah ruko bisnis properti area lewat jembatan tongkonan area milik perintah situ rencana bangun gedung gedung perintah ya kak swasta bangun bisnis properti area perintah area bangun gedung area kawasan cpi,0.0,netral
noefvonlahan swasta hektar lahan pemprov hektar lahan pemprov yg jembatan tongkonan sdgkn lahan swasta jembatan yg runcing,0.0,netral
azrielmuhammad alias buta fiktif belaka nya,0.0,netral
